food,calories,protein,carbs,fat
egg,78,6,1,5
banana,105,1,27,0
apple,95,0,25,0
milk,122,8,12,5
rice,206,4,45,0
chapati,120,3,18,3
paneer,265,18,6,20
chicken breast,165,31,0,4
oats,150,5,27,3
bread,80,3,15,1
peanut butter,94,4,3,8
dal,180,9,27,1
curd,98,11,4,4
almonds,164,6,6,14
potato,161,4,37,0
